record_id,province,commune,num_pages,survey_date,original_filename,notes
LCA-LP-001,lao-cai,lung-phinh-16phieu,7,2026-05-28,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg;6.jpg;7.jpg,"phiếu mẫu pilot (bộ test/ ban đầu, phỏng vấn Sùng Thị Sơ, Tả Sì Thàng). 15/07: 7 ảnh gốc từng đổi tên xáo trộn để test Task 2. 22/07 (sửa lại lần 2, đã xác minh bằng cách render trang 1 và đối chiếu ground_truth): khách đã TỰ scan lại đúng phiếu giấy này khi bàn giao batch chính thức — file nằm sẵn trong batch lung-phinh-16phieu (client đặt tên gốc `LCA-LP-001.pdf` trong scan-16-7-2026/16-phieu/, staging từng đổi nhầm thành LCA-LP-017 vì tưởng trùng record_id với mẫu — đã xác nhận đây chính là 1 file, không phải 2 phiếu khác nhau). Đã bỏ folder/record LCA-LP-001 riêng lẻ, dùng thẳng file có sẵn trong lung-phinh-16phieu/. 7 ảnh gốc chụp tay (08/07) lưu tham khảo tại data/raw/_archive/LCA-LP-001-original-photos-2026-07-08/. Chi tiết: data/README.md, docs/task-02-report.md §7b/§7c."
LCH-SLL-001,lai-chau,si-lo-lau-4phieu,7,,scan-16-7-2026/4-phieu/202607152223-1.pdf,"Khớp mapping cũ (Sì Lở Lầu, Lai Châu)."
LCH-SLL-002,lai-chau,si-lo-lau-4phieu,7,,scan-16-7-2026/4-phieu/202607152223.pdf,"Khớp mapping cũ (Sì Lở Lầu, Lai Châu)."
LCH-SLL-003,lai-chau,si-lo-lau-4phieu,7,,scan-16-7-2026/4-phieu/202607152224.pdf,"Khớp mapping cũ (Sì Lở Lầu, Lai Châu)."
LCH-SLL-004,lai-chau,si-lo-lau-4phieu,7,,scan-16-7-2026/4-phieu/202607152225.pdf,"Khớp mapping cũ (Sì Lở Lầu, Lai Châu)."
LCA-BH-001,lao-cai,bac-ha-6phieu,7,,scan-16-7-2026/6-phieu/202607152230.pdf,"Xã Bắc Hà, huyện Bắc Hà, Lào Cai — xác nhận bởi khách hàng 22/07/2026 (trước đó ghi tạm 'Nậm Mòn', đọc từ chữ viết tay, chưa chắc chắn). record_id đổi tiền tố NMO -> BH, folder nam-mon-6phieu -> bac-ha-6phieu."
LCA-BH-002,lao-cai,bac-ha-6phieu,7,,scan-16-7-2026/6-phieu/202607152231.pdf,"Xã Bắc Hà, huyện Bắc Hà, Lào Cai — xác nhận bởi khách hàng 22/07/2026 (trước đó ghi tạm 'Nậm Mòn', đọc từ chữ viết tay, chưa chắc chắn). record_id đổi tiền tố NMO -> BH, folder nam-mon-6phieu -> bac-ha-6phieu."
LCA-BH-003,lao-cai,bac-ha-6phieu,7,,scan-16-7-2026/6-phieu/202607152232.pdf,"Xã Bắc Hà, huyện Bắc Hà, Lào Cai — xác nhận bởi khách hàng 22/07/2026 (trước đó ghi tạm 'Nậm Mòn', đọc từ chữ viết tay, chưa chắc chắn). record_id đổi tiền tố NMO -> BH, folder nam-mon-6phieu -> bac-ha-6phieu."
LCA-BH-004,lao-cai,bac-ha-6phieu,7,,scan-16-7-2026/6-phieu/202607152233-1.pdf,"Xã Bắc Hà, huyện Bắc Hà, Lào Cai — xác nhận bởi khách hàng 22/07/2026 (trước đó ghi tạm 'Nậm Mòn', đọc từ chữ viết tay, chưa chắc chắn). record_id đổi tiền tố NMO -> BH, folder nam-mon-6phieu -> bac-ha-6phieu."
LCA-BH-005,lao-cai,bac-ha-6phieu,7,,scan-16-7-2026/6-phieu/202607152233.pdf,"Xã Bắc Hà, huyện Bắc Hà, Lào Cai — xác nhận bởi khách hàng 22/07/2026 (trước đó ghi tạm 'Nậm Mòn', đọc từ chữ viết tay, chưa chắc chắn). record_id đổi tiền tố NMO -> BH, folder nam-mon-6phieu -> bac-ha-6phieu."
LCA-BH-006,lao-cai,bac-ha-6phieu,7,,scan-16-7-2026/6-phieu/202607152234.pdf,"Xã Bắc Hà, huyện Bắc Hà, Lào Cai — xác nhận bởi khách hàng 22/07/2026 (trước đó ghi tạm 'Nậm Mòn', đọc từ chữ viết tay, chưa chắc chắn). record_id đổi tiền tố NMO -> BH, folder nam-mon-6phieu -> bac-ha-6phieu."
LCA-TPH-001,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152236.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-002,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152238.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-003,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152239-1.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-004,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152239-2.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-005,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152239.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-006,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152240.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-007,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152241-1.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-008,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152241.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-009,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152242-1.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-TPH-010,lao-cai,ta-phin-10phieu,7,,scan-16-7-2026/9-phieu/202607152242.pdf,"Folder gốc đặt tên '9-phieu' nhưng thực có 10 file — đã soát kỹ (tên/năm sinh/SĐT), KHÔNG có phiếu trùng, xã Tả Phìn, Sa Pa, Lào Cai."
LCA-LP-002,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152250-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-003,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152250.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-004,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152251-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-005,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152251.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-006,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152252-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-007,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152252.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-008,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152254-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-009,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152254.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-010,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152255-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-011,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152255.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-012,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152256-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-013,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152256.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-014,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152257-1.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-015,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152257-2.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCA-LP-016,lao-cai,lung-phinh-16phieu,7,,scan-16-7-2026/16-phieu/202607152257.pdf,Khớp mapping cũ — CÙNG xã Lùng Phình với phiếu mẫu LCA-LP-001.
LCH-MSP-001,lai-chau,mao-sao-phin-23phieu,7,,scan-16-7-2026/23-phieu/202607152302-1.pdf,"Mới — xã Mao Sao Phìn, huyện Sìn Hồ, Lai Châu."
LCH-MSP-002,lai-chau,mao-sao-phin-23phieu,7,,scan-16-7-2026/23-phieu/202607152302.pdf,"Mới — xã Mao Sao Phìn, huyện Sìn Hồ, Lai Châu."
LCH-MSP-003,lai-chau,mao-sao-phin-23phieu,7,,scan-16-7-2026/23-phieu/202607152303.pdf,"Mới — xã Mao Sao Phìn, huyện Sìn Hồ, Lai Châu."
LCH-MSP-004,lai-chau,mao-sao-phin-23phieu,7,,scan-16-7-2026/23-phieu/202607152304-1.pdf,"Mới — xã Mao Sao Phìn, huyện Sìn Hồ, Lai Châu."
LCH-MSP-005,lai-chau,mao-sao-phin-23phieu,7,,scan-16-7-2026/23-phieu/202607152304-2.pdf,"Mới — xã Mao Sao Phìn, huyện Sìn Hồ, Lai Châu."
